Tempo,Pot. Ativa,FP,FR,FNL
432.141,1.85,0.25,0.91,-0.03
432.145,1.85,0.25,0.91,-0.03
432.148,1.85,0.25,0.91,-0.03
432.152,1.85,0.25,0.91,-0.03
432.156,1.85,0.25,0.91,-0.03
432.159,1.85,0.25,0.91,-0.03
432.163,1.85,0.25,0.91,-0.03
432.167,1.85,0.25,0.91,-0.03
432.171,1.85,0.25,0.91,-0.03
432.174,1.85,0.25,0.91,-0.03
432.178,1.85,0.25,0.91,-0.03
432.182,1.85,0.25,0.91,-0.03
432.185,1.85,0.25,0.91,-0.03
432.189,1.85,0.25,0.91,-0.03
432.193,1.85,0.25,0.91,-0.03
432.196,1.85,0.25,0.91,-0.03
432.2,1.85,0.25,0.91,-0.03
432.204,1.85,0.25,0.91,-0.03
432.208,1.85,0.25,0.91,-0.03
432.211,1.85,0.25,0.91,-0.03
432.215,1.85,0.25,0.91,-0.03
432.219,1.85,0.25,0.91,-0.03
432.222,1.85,0.25,0.91,-0.03
432.226,1.85,0.25,0.91,-0.03
432.23,1.85,0.25,0.91,-0.03
432.233,1.85,0.25,0.91,-0.03
432.237,1.85,0.25,0.91,-0.03
432.241,1.85,0.25,0.91,-0.03
432.244,1.85,0.25,0.91,-0.03
432.248,1.85,0.25,0.91,-0.03
432.252,1.85,0.25,0.91,-0.03
432.256,1.85,0.25,0.91,-0.03
432.259,1.85,0.25,0.91,-0.03
432.263,1.85,0.25,0.91,-0.03
432.267,1.85,0.25,0.91,-0.03
432.27,1.85,0.25,0.91,-0.03
432.274,1.85,0.25,0.91,-0.03
432.278,1.85,0.25,0.91,-0.03
432.281,1.85,0.25,0.91,-0.03
432.285,1.86,0.25,0.91,-0.03
432.289,1.86,0.25,0.91,-0.03
432.293,1.86,0.25,0.91,-0.03
432.296,1.86,0.25,0.91,-0.03
432.3,1.86,0.25,0.91,-0.03
432.304,1.86,0.25,0.91,-0.03
432.307,1.86,0.25,0.91,-0.03
432.311,1.86,0.25,0.91,-0.03
432.315,1.86,0.25,0.91,-0.03
432.318,1.86,0.25,0.91,-0.03
432.322,1.86,0.25,0.91,-0.03
432.326,1.86,0.25,0.91,-0.03
432.329,1.86,0.25,0.91,-0.03
432.333,1.86,0.25,0.91,-0.03
432.337,1.86,0.25,0.91,-0.03
432.341,1.86,0.25,0.91,-0.03
432.344,1.86,0.25,0.91,-0.03
432.348,1.86,0.25,0.91,-0.03
432.352,1.86,0.25,0.91,-0.03
432.355,1.86,0.25,0.91,-0.03
432.359,1.86,0.25,0.91,-0.03
432.363,1.86,0.25,0.91,-0.03
432.366,1.86,0.25,0.91,-0.03
432.37,1.86,0.25,0.91,-0.03
432.374,1.86,0.25,0.91,-0.03
432.378,1.86,0.25,0.91,-0.03
432.381,1.86,0.25,0.91,-0.03
432.385,1.86,0.25,0.91,-0.03
432.389,1.85,0.25,0.91,-0.03
432.392,1.85,0.25,0.91,-0.03
432.396,1.85,0.25,0.91,-0.03
432.4,1.85,0.25,0.91,-0.03
432.403,1.85,0.25,0.91,-0.03
432.407,1.85,0.25,0.91,-0.03
432.411,1.85,0.25,0.91,-0.03
432.414,1.85,0.25,0.91,-0.03
432.418,1.85,0.25,0.91,-0.03
432.422,1.85,0.25,0.91,-0.03
432.426,1.85,0.25,0.91,-0.03
432.429,1.85,0.25,0.91,-0.03
432.433,1.85,0.25,0.91,-0.03
432.437,1.85,0.25,0.91,-0.03
432.44,1.85,0.25,0.91,-0.03
432.444,1.85,0.25,0.91,-0.03
432.448,1.85,0.25,0.91,-0.03
432.451,1.85,0.25,0.91,-0.03
432.455,1.85,0.25,0.91,-0.03
432.459,1.85,0.25,0.91,-0.03
432.463,1.85,0.25,0.91,-0.03
432.466,1.85,0.25,0.91,-0.03
432.47,1.85,0.25,0.91,-0.03
432.474,1.85,0.25,0.91,-0.03
432.477,1.86,0.25,0.91,-0.03
432.481,1.86,0.25,0.91,-0.03
432.485,1.86,0.25,0.91,-0.03
432.488,1.86,0.25,0.91,-0.03
432.492,1.86,0.25,0.91,-0.03
432.496,1.86,0.25,0.91,-0.03
432.499,1.86,0.25,0.91,-0.03
432.503,1.86,0.25,0.91,-0.03
432.507,1.86,0.25,0.91,-0.03
432.511,1.86,0.25,0.91,-0.03
432.514,1.86,0.25,0.91,-0.03
432.518,1.86,0.25,0.91,-0.03
432.522,1.86,0.25,0.91,-0.03
432.525,1.86,0.25,0.91,-0.03
432.529,1.86,0.25,0.91,-0.03
432.533,1.86,0.25,0.91,-0.03
432.536,1.86,0.25,0.91,-0.03
432.54,1.86,0.25,0.91,-0.03
432.544,1.86,0.25,0.91,-0.03
432.548,1.86,0.25,0.91,-0.03
432.551,1.86,0.25,0.91,-0.03
432.555,1.86,0.25,0.91,-0.03
432.559,1.86,0.25,0.91,-0.03
432.562,1.86,0.25,0.91,-0.03
432.566,1.86,0.25,0.91,-0.03
432.57,1.86,0.25,0.91,-0.03
432.573,1.86,0.25,0.91,-0.03
432.577,1.86,0.25,0.91,-0.03
432.581,1.86,0.25,0.91,-0.03
432.584,1.86,0.25,0.91,-0.03
432.588,1.86,0.25,0.91,-0.03
432.592,1.86,0.25,0.91,-0.03
432.596,1.86,0.25,0.91,-0.03
432.599,1.86,0.25,0.91,-0.03
432.603,1.86,0.25,0.91,-0.03
432.607,1.86,0.25,0.91,-0.03
432.61,1.86,0.25,0.91,-0.03
432.614,1.86,0.25,0.91,-0.03
432.618,1.86,0.25,0.91,-0.03
432.621,1.86,0.25,0.91,-0.03
432.625,1.86,0.25,0.91,-0.03
432.629,1.86,0.25,0.91,-0.03
432.633,1.86,0.25,0.91,-0.03
432.636,1.86,0.25,0.91,-0.03
432.64,1.86,0.25,0.91,-0.03
432.644,1.86,0.25,0.91,-0.03
432.647,1.86,0.25,0.91,-0.03
432.651,1.86,0.25,0.91,-0.03
432.655,1.86,0.25,0.91,-0.03
432.658,1.86,0.25,0.91,-0.03
432.662,1.86,0.25,0.91,-0.03
432.666,1.86,0.25,0.91,-0.03
432.669,1.86,0.25,0.91,-0.03
432.673,1.86,0.25,0.91,-0.03
432.677,1.86,0.25,0.91,-0.03
432.681,1.86,0.25,0.91,-0.03
432.684,1.86,0.25,0.91,-0.03
432.688,1.86,0.25,0.91,-0.03
432.692,1.86,0.25,0.91,-0.03
432.695,1.86,0.25,0.91,-0.03
432.699,1.86,0.25,0.91,-0.03
432.703,1.86,0.25,0.91,-0.03
432.706,1.86,0.25,0.91,-0.03
432.71,1.86,0.25,0.91,-0.03
432.714,1.86,0.25,0.91,-0.03
432.718,1.86,0.25,0.91,-0.03
432.721,1.86,0.25,0.91,-0.03
432.725,1.86,0.25,0.91,-0.03
432.729,1.86,0.25,0.91,-0.03
432.732,1.86,0.25,0.91,-0.03
432.736,1.86,0.25,0.91,-0.03
432.74,1.86,0.25,0.91,-0.03
432.743,1.86,0.25,0.91,-0.03
432.747,1.86,0.25,0.91,-0.03
432.751,1.86,0.25,0.91,-0.03
432.755,1.86,0.25,0.91,-0.03
432.758,1.86,0.25,0.91,-0.03
432.762,1.86,0.25,0.91,-0.03
432.766,1.86,0.25,0.91,-0.03
432.769,1.86,0.25,0.91,-0.03
432.773,1.86,0.25,0.91,-0.03
432.777,1.86,0.25,0.91,-0.03
432.78,1.86,0.25,0.91,-0.03
432.784,1.86,0.25,0.91,-0.03
432.788,1.86,0.25,0.91,-0.03
432.791,1.86,0.25,0.91,-0.03
432.795,1.86,0.25,0.91,-0.03
432.799,1.86,0.25,0.91,-0.03
432.803,1.86,0.25,0.91,-0.03
432.806,1.86,0.25,0.91,-0.03
432.81,1.86,0.25,0.91,-0.03
